epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,594.953,0.86079,0.5291,0.95063,0.79751,0.7852,0.8123,0.53907,1.18789,0.80875,1.16652,0.000742625,0.000742625,0.000742625
43,608.793,0.84634,0.52266,0.94907,0.76927,0.82051,0.82542,0.54414,1.18452,0.80091,1.16779,0.00073025,0.00073025,0.00073025
44,622.662,0.83865,0.51432,0.93641,0.79322,0.81054,0.80749,0.54633,1.16357,0.76431,1.1701,0.000717875,0.000717875,0.000717875
45,636.513,0.83021,0.51966,0.93239,0.7921,0.81494,0.82861,0.54765,1.19299,0.76941,1.16606,0.0007055,0.0007055,0.0007055
46,650.382,0.82219,0.50616,0.92788,0.83072,0.77363,0.82587,0.54814,1.16384,0.77387,1.16163,0.000693125,0.000693125,0.000693125
47,664.242,0.81661,0.49856,0.93271,0.78611,0.83829,0.85209,0.56348,1.18901,0.73117,1.17915,0.00068075,0.00068075,0.00068075
48,678.297,0.80675,0.49179,0.9249,0.80179,0.82014,0.83364,0.54943,1.18539,0.74882,1.17925,0.000668375,0.000668375,0.000668375
49,692.351,0.79406,0.48253,0.92206,0.80503,0.80873,0.84,0.55774,1.19042,0.76903,1.17748,0.000656,0.000656,0.000656
50,706.254,0.78981,0.47641,0.91904,0.78921,0.78605,0.81919,0.5579,1.18895,0.79779,1.17875,0.000643625,0.000643625,0.000643625
51,720.117,0.78887,0.47785,0.91832,0.77868,0.79971,0.81665,0.53731,1.20065,0.78258,1.18968,0.00063125,0.00063125,0.00063125
52,734.021,0.77777,0.47349,0.91365,0.75485,0.82403,0.81343,0.54618,1.18341,0.77205,1.19358,0.000618875,0.000618875,0.000618875
53,747.966,0.77255,0.46275,0.91607,0.75836,0.80508,0.82218,0.54448,1.19046,0.79241,1.18336,0.0006065,0.0006065,0.0006065
54,762.175,0.76208,0.46685,0.91157,0.78005,0.78554,0.82399,0.5539,1.18813,0.75777,1.18669,0.000594125,0.000594125,0.000594125
55,776.122,0.76301,0.46191,0.91004,0.8036,0.78002,0.8287,0.54893,1.19447,0.82129,1.18391,0.00058175,0.00058175,0.00058175
56,790.066,0.75152,0.46191,0.90422,0.79577,0.79888,0.81936,0.5478,1.18999,0.77957,1.19535,0.000569375,0.000569375,0.000569375
57,803.73,0.73514,0.45427,0.90228,0.80034,0.78452,0.81974,0.54092,1.20946,0.80201,1.20962,0.000557,0.000557,0.000557
58,817.636,0.73409,0.4549,0.89635,0.80525,0.77551,0.81647,0.54054,1.20908,0.78454,1.20705,0.000544625,0.000544625,0.000544625
59,831.559,0.7412,0.45191,0.90091,0.73366,0.83318,0.808,0.54467,1.19757,0.77546,1.20086,0.00053225,0.00053225,0.00053225
60,845.739,0.72227,0.44479,0.89591,0.79331,0.80997,0.82796,0.5509,1.19947,0.77424,1.19557,0.000519875,0.000519875,0.000519875
61,859.641,0.70942,0.43377,0.89552,0.75668,0.81409,0.82621,0.5492,1.20159,0.78135,1.20128,0.0005075,0.0005075,0.0005075
62,873.476,0.70157,0.43712,0.89078,0.79343,0.77156,0.81125,0.54486,1.20487,0.78505,1.2024,0.000495125,0.000495125,0.000495125
63,887.257,0.6922,0.43243,0.88709,0.75454,0.80417,0.79593,0.52666,1.22195,0.83289,1.21538,0.00048275,0.00048275,0.00048275
64,901.14,0.69325,0.42593,0.88499,0.76351,0.78681,0.80375,0.53518,1.22593,0.80258,1.2262,0.000470375,0.000470375,0.000470375
65,914.927,0.6893,0.42576,0.88356,0.76812,0.80467,0.8091,0.54013,1.20581,0.81014,1.21577,0.000458,0.000458,0.000458
66,928.88,0.6836,0.4261,0.87907,0.77221,0.83159,0.82401,0.55133,1.20348,0.78869,1.21227,0.000445625,0.000445625,0.000445625
67,942.957,0.67709,0.41972,0.88094,0.79333,0.80784,0.82929,0.55012,1.2078,0.76671,1.21063,0.00043325,0.00043325,0.00043325
68,956.852,0.67552,0.41709,0.87646,0.80738,0.80225,0.82457,0.55194,1.20068,0.80025,1.20708,0.000420875,0.000420875,0.000420875
69,970.73,0.65929,0.41157,0.87663,0.77541,0.81603,0.80589,0.54231,1.20595,0.7952,1.22182,0.0004085,0.0004085,0.0004085
70,984.644,0.66625,0.41027,0.87663,0.7799,0.82062,0.8338,0.55671,1.19886,0.77429,1.21103,0.000396125,0.000396125,0.000396125
71,998.551,0.64826,0.39904,0.87067,0.79134,0.83026,0.83917,0.56303,1.19795,0.79208,1.20457,0.00038375,0.00038375,0.00038375
72,1012.38,0.65001,0.4049,0.87186,0.81558,0.78185,0.82447,0.5473,1.2118,0.79995,1.21025,0.000371375,0.000371375,0.000371375
73,1026.19,0.63762,0.39802,0.87213,0.80731,0.80514,0.81684,0.54075,1.2172,0.78354,1.22456,0.000359,0.000359,0.000359
74,1040.17,0.64318,0.39739,0.87091,0.7916,0.80572,0.82036,0.54693,1.21643,0.7849,1.22254,0.000346625,0.000346625,0.000346625
75,1053.89,0.62715,0.3912,0.87005,0.8086,0.80574,0.83379,0.55671,1.2169,0.78324,1.22512,0.00033425,0.00033425,0.00033425
76,1067.75,0.62649,0.39542,0.86243,0.77845,0.81899,0.82365,0.54716,1.20985,0.78712,1.23019,0.000321875,0.000321875,0.000321875
77,1081.83,0.61709,0.38724,0.86408,0.79736,0.815,0.83228,0.5565,1.19963,0.76009,1.22522,0.0003095,0.0003095,0.0003095
